x,y,WeightedProbabiliticGoals,GoalProbability
0,0,0.000168677249531262,0
0,2,0.000204952143775041,0
0,4,0.000173615799568257,0
0,6,0.00010253375182957,0
0,8,0.0000422167967951581,0
0,10,0.0000121183790310297,0
0,12,0.00000242518353279386,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0.000017712947025631,0
0,28,0.000159623880412644,0
0,30,0.000766408469612283,0
0,32,0.00285511658128086,0
0,34,0.00803807737965669,0.001
0,36,0.0164791391951089,0.001
0,38,0.0240706875189314,0.002
0,40,0.0247811249972308,0.002
0,42,0.0179187896283567,0.002
0,44,0.00911389208738619,0.001
0,46,0.00330037906585228,0.001
0,48,0.000884496118425677,0
0,50,0.00019330814167783,0
0,52,0.0000406349351035739,0
0,54,0.00000755918171223669,0
0,56,0.000000326021565711777,0
0,58,0,0
0,60,0,0
0,62,0.00000554547203664925,0
0,64,0.000041627685088905,0
0,66,0.000159563216668467,0
0,68,0.000465592155161084,0
0,70,0.000986019970376694,0.001
0,72,0.00152822596218214,0.001
0,74,0.00170185685086526,0.002
0,76,0.00135716487663948,0.001
0,78,0.000764295886374522,0.001
0,80,0.000302403373604501,0.001
2,0,0.000434661029953992,0
2,2,0.000528672687593444,0
2,4,0.00044860353113766,0
2,6,0.000265692834805581,0
2,8,0.000109919341826861,0
2,10,0.0000318053983870993,0
2,12,0.00000624010143918866,0
2,14,0.000000870627845472922,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0.0000119114801429877,0
2,26,0.0000831003785464371,0
2,28,0.000427648708638348,0
2,30,0.00166195509165236,0
2,32,0.00525732077635275,0
2,34,0.0132994159982958,0.001
2,36,0.0256350131571486,0.001
2,38,0.036287117706906,0.001
2,40,0.0368481829937757,0.002
2,42,0.0265343564658139,0.001
2,44,0.0135874996861133,0.001
2,46,0.00508274341426308,0.001
2,48,0.0015197870202542,0
2,50,0.000436754149791394,0
2,52,0.000135677586248925,0
2,54,0.0000380262985598696,0
2,56,0.00000923210823412968,0
2,58,0,0
2,60,0.00000421577618855602,0
2,62,0.0000250480471384381,0
2,64,0.000191297464851186,0
2,66,0.000687753447896254,0
2,68,0.0018821593850277,0.001
2,70,0.00386941378479243,0.001
2,72,0.00587276693232054,0.002
2,74,0.00647820597886085,0.003
2,76,0.00511625053480309,0.003
2,78,0.0028644490181367,0.002
2,80,0.001127803212723,0.001
4,0,0.000783197641756916,0.001
4,2,0.000955467146042795,0
4,4,0.000814846919087319,0
4,6,0.000486658532473805,0
4,8,0.00020413135055116,0
4,10,0.0000604089566449939,0
4,12,0.0000126991875375719,0
4,14,0.00000156178201370646,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0.0000322362900379928,0
4,26,0.000222344320145209,0
4,28,0.00100764640612698,0
4,30,0.00334313281115272,0
4,32,0.00868917937308031,0
4,34,0.0182461069626238,0.001
4,36,0.0307988682884294,0.001
4,38,0.0403142321300276,0.001
4,40,0.039322250857782,0.001
4,42,0.0279437395241822,0.001
4,44,0.0145839970208143,0.001
4,46,0.00603550817639254,0
4,48,0.00238873617810312,0
4,50,0.00105469098050113,0
4,52,0.000451898814701435,0
4,54,0.000152528329468074,0
4,56,0.0000900488072536222,0
4,58,0.0000932389260206509,0
4,60,0.000122859612377722,0
4,62,0.000228844264335166,0
4,64,0.000674134255863007,0
4,66,0.00210873008393414,0.001
4,68,0.00547589290982288,0.001
4,70,0.0108215415231183,0.003
4,72,0.0159761905624598,0.004
4,74,0.0172894129803145,0.005
4,76,0.0134903793507569,0.004
4,78,0.00749909129509019,0.003
4,80,0.00294435932619233,0.002
6,0,0.000996868465900052,0
6,2,0.00123043261345976,0
6,4,0.00106962145942038,0
6,6,0.000658815987357014,0
6,8,0.000290029839942916,0
6,10,0.0000923118705290488,0
6,12,0.0000215213651084088,0
6,14,0.00000371747527556963,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0.00000734585643444696,0
6,24,0.0000713999350880384,0
6,26,0.000467078293688112,0
6,28,0.00201945359665841,0
6,30,0.0061669794369972,0
6,32,0.0139230270087963,0
6,34,0.0240916469828046,0.001
6,36,0.0331107417350471,0.001
6,38,0.0366544277191394,0.001
6,40,0.0321618515586118,0.001
6,42,0.0219921277504185,0.001
6,44,0.01224583302248,0
6,46,0.00662090678095524,0
6,48,0.00410354002431415,0
6,50,0.00253946897263553,0
6,52,0.00130187472033797,0
6,54,0.000609152274235709,0
6,56,0.000497341190037966,0
6,58,0.000675683578148664,0
6,60,0.000836657433307347,0
6,62,0.00103726504470757,0
6,64,0.00195840167409164,0
6,66,0.00503902034526942,0.001
6,68,0.0118270648795723,0.002
6,70,0.0219790634753079,0.004
6,72,0.0311041736679584,0.006
6,74,0.032704550019503,0.007
6,76,0.0250535382485186,0.006
6,78,0.0137668765174079,0.004
6,80,0.00536911738008372,0.002
8,0,0.000929716233648266,0
8,2,0.00119648265439218,0
8,4,0.00110870943862531,0
8,6,0.000749259918045489,0
8,8,0.000373892440280988,0
8,10,0.000138883267390138,0
8,12,0.0000384105290284064,0
8,14,0.00000784918386990967,0
8,16,0.00000100502158396741,0
8,18,0,0
8,20,0,0
8,22,0.00000966280931920593,0
8,24,0.00014743520154199,0
8,26,0.000842409388398634,0
8,28,0.00349991885024337,0
8,30,0.0103548578786356,0.001
8,32,0.0219772791907237,0.001
8,34,0.0338859688235848,0.001
8,36,0.0388931020628167,0.001
8,38,0.0344411925880354,0.001
8,40,0.0245974237846184,0.001
8,42,0.0152558795833015,0
8,44,0.00989309235857317,0
8,46,0.00810101471164639,0
8,48,0.00705567936185116,0.001
8,50,0.00505836171594163,0.001
8,52,0.002819426443262,0.001
8,54,0.0017645227828909,0.001
8,56,0.00221852230074622,0.001
8,58,0.00338691022550634,0.001
8,60,0.00411105452549019,0.001
8,62,0.00418459892659558,0.001
8,64,0.00519245703429541,0.001
8,66,0.00979028454305946,0.002
8,68,0.0197844887723816,0.003
8,70,0.0335312778312541,0.005
8,72,0.0443911101053178,0.007
8,74,0.0445475475473819,0.007
8,76,0.0330845690282506,0.006
8,78,0.0178318037390201,0.004
8,80,0.0068723997687627,0.002
10,0,0.000712184517066024,0
10,2,0.00102764718417995,0
10,4,0.00110165324838345,0
10,6,0.000880080332262308,0
10,8,0.000521189159850436,0
10,10,0.000244146875611987,0
10,12,0.000117108216553983,0
10,14,0.000098560320187451,0
10,16,0.000105739995973239,0
10,18,0.0000900670357112049,0
10,20,0.0000547490020930542,0
10,22,0.0000494377807489097,0
10,24,0.000272447158483822,0
10,26,0.00144138671564179,0
10,28,0.00569508222570878,0
10,30,0.0163768972813291,0.001
10,32,0.0338674413256591,0.001
10,34,0.0500688960533707,0.002
10,36,0.0530511483663897,0.001
10,38,0.0408706307845292,0.001
10,40,0.0239957711267851,0.001
10,42,0.0127831601195694,0
10,44,0.00937508395240748,0
10,46,0.0099716511954886,0.001
