Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
1,0.0000678720859136117,0,0,0,0,30,76,Shot
1,0.00030418158562008,0,0,0,0,32,76,Shot
1,0.000501510650367117,0,0,0,0,34,76,Shot
1,0.00030418158562008,0,0,0,0,36,76,Shot
1,0.0000678720859136117,0,0,0,0,38,76,Shot
1,0.000107514405603063,0,0,0,0,28,78,Shot
1,0.00130979359694794,0,0,0,0,30,78,Shot
1,0.00587008764784035,0,0,0,0,32,78,Shot
1,0.00967813836586846,0,0,0,0,34,78,Shot
2,0.00627031182947531,0,0,0,0,36,78,Shot
3,0.00248977231869729,0,0,0,0,38,78,Shot
3,0.00163910026516276,0,0,0,0,40,78,Shot
3,0.00137663271996642,0,0,0,0,42,78,Shot
2,0.000927669952455261,0,0,0,0,44,78,Shot
2,0.000438577109543216,0,0,0,0,46,78,Shot
1,0.0000850657803954655,0,0,0,0,48,78,Shot
1,0.00014960894315473,0,0,0,0,50,78,Shot
1,0.000124963893577868,0,0,0,0,52,78,Shot
1,0.000763279929592052,0,0,0,0,28,80,Shot
1,0.00929865313258135,0,0,0,0,30,80,Shot
1,0.0416736721131546,0,0,0,0,32,80,Shot
2,0.0694826203198105,0,0,0,0,34,80,Shot
6,0.0484970106685782,0,0,0,0,36,80,Shot
8,0.0300810535406076,0,0,0,0,38,80,Shot
10,0.0292178713187762,0,0,0,0,40,80,Shot
9,0.0260563099094469,0,0,0,0,42,80,Shot
7,0.0197050632632508,0,0,0,0,44,80,Shot
5,0.0100195369836348,0,0,0,0,46,80,Shot
7,0.00500727913481161,0,0,0,0,48,80,Shot
6,0.00622844404569464,0,0,0,0,50,80,Shot
5,0.00552522723468752,0,0,0,0,52,80,Shot
4,0.00207152601726636,0,0,0,0,54,80,Shot
2,0.000304068741423146,0,0,0,0,56,80,Shot
2,0.00217947004062899,0,0,0,0,28,82,Shot
2,0.024546600274122,0,0,0,0,30,82,Shot
3,0.109176817142994,0,0,0,0,32,82,Shot
6,0.185142380481521,0,0,0,0,34,82,Shot
8,0.154554065210652,0,0,0,0,36,82,Shot
10,0.167902375279477,0,0,0,0,38,82,Shot
11,0.206521182010699,0,0,0,0,40,82,Shot
10,0.190391191850212,0,0,0,0,42,82,Shot
12,0.151191196550094,0,0,0,0,44,82,Shot
13,0.0847352148086668,0,0,0,0,46,82,Shot
9,0.0522053247482079,0,0,0,0,48,82,Shot
9,0.0753777336374116,0,0,0,0,50,82,Shot
9,0.0703028518157621,0,0,0,0,52,82,Shot
8,0.0298475635673461,0,0,0,0,54,82,Shot
7,0.00700860558502153,0,0,0,0,56,82,Shot
3,0.00129414279453801,0,0,0,0,58,82,Shot
2,0.000182423139783762,0,0,0,0,60,82,Shot
1,0.000114094248059526,0,0,0,0,20,84,Shot
1,0.000676562509180111,0,0,0,0,22,84,Shot
4,0.00184613813713252,0,0,0,0,24,84,Shot
4,0.00387872968895128,0,0,0,0,26,84,Shot
6,0.0101881061724409,0,0,0,0,28,84,Shot
5,0.0324113846650099,0,0,0,0,30,84,Shot
8,0.10995508385278,0,0,0,0,32,84,Shot
11,0.191048063908657,0,0,0,0,34,84,Shot
10,0.243780823343457,0,0,0,0,36,84,Shot
13,0.483542244437236,0,0,0,0,38,84,Shot
12,0.685780385704031,0,0,0,0,40,84,Shot
11,0.619129770414446,0,0,0,0,42,84,Shot
13,0.485822832373385,0,0,0,0,44,84,Shot
17,0.291956213072908,0,0,0,0,46,84,Shot
13,0.224661203391482,0,0,0,0,48,84,Shot
12,0.372633997078257,0,0,0,0,50,84,Shot
9,0.368948143283688,0,0,0,0,52,84,Shot
9,0.178237893659477,0,0,0,0,54,84,Shot
9,0.0603760682148042,0,0,0,0,56,84,Shot
7,0.0178078795516967,0,0,0,0,58,84,Shot
2,0.00275706559739477,0,0,0,0,60,84,Shot
2,0.000177856759558003,0,0,0,0,62,84,Shot
1,0.0000972247048406952,0,0,0,0,18,86,Shot
2,0.00166470337621104,0,0,0,0,20,86,Shot
6,0.0103261209627432,0,0,0,0,22,86,Shot
8,0.0273235765270041,0,0,0,0,24,86,Shot
9,0.0510402948804497,0,0,0,0,26,86,Shot
11,0.0925839862475697,0,0,0,0,28,86,Shot
11,0.103119522609165,0,0,0,0,30,86,Shot
12,0.0885910634181104,0,0,0,0,32,86,Shot
13,0.113707670632464,0,0,0,0,34,86,Shot
13,0.258471313377354,0,0,0,0,36,86,Shot
15,0.732479594727081,0,0,0,0,38,86,Shot
15,1.11495023844757,1,0.000152387229559422,0.000136676260791335,0.000152387229559422,40,86,Shot
15,0.966399537963069,1,0.000770026434054711,0.000796799257248959,0.000770026434054711,42,86,Shot
19,0.725622600058021,1,0.00143142373122725,0.00197268350119303,0.00143142373122725,44,86,Shot
20,0.459182426304938,1,0.000978895450017074,0.00213182254794525,0.000978895450017074,46,86,Shot
21,0.424488861742571,1,0.000246269100912075,0.000580154447165267,0.000246269100912075,48,86,Shot
20,0.789747870253859,0,0,0,0,50,86,Shot
16,0.845903675683405,0,0,0,0,52,86,Shot
11,0.495496207047692,0,0,0,0,54,86,Shot
11,0.252045764462217,0,0,0,0,56,86,Shot
10,0.0976344307466262,0,0,0,0,58,86,Shot
6,0.0189530254159162,0,0,0,0,60,86,Shot
4,0.00241164695590231,0,0,0,0,62,86,Shot
1,0.000282371857017558,0,0,0,0,64,86,Shot
3,0.000693455778870046,0,0,0,0,18,88,Shot
5,0.0103086355584576,0,0,0,0,20,88,Shot
12,0.0619514460094566,0,0,0,0,22,88,Shot
11,0.161638078994521,0,0,0,0,24,88,Shot
12,0.274872171902762,0,0,0,0,26,88,Shot
15,0.420982752126876,0,0,0,0,28,88,Shot
15,0.396410306202106,0,0,0,0,30,88,Shot
17,0.231605504053051,0,0,0,0,32,88,Shot
17,0.19305692812548,0,0,0,0,34,88,Shot
15,0.266087612429276,0,0,0,0,36,88,Shot
16,0.585028022994608,1,0.000155465655799487,0.000265740528126667,0.000155465655799487,38,88,Shot
17,0.888935284518789,1,0.00213543327503462,0.00240223704945024,0.00213543327503462,40,88,Shot
17,0.772419585387561,1,0.0107905372037457,0.0139697871569784,0.0107905372037457,42,88,Shot
21,0.612619389445439,1,0.0200588321946292,0.0327427315233803,0.0200588321946292,44,88,Shot
26,0.440548671730522,1,0.0137174612517733,0.0311372207703853,0.0137174612517733,46,88,Shot
26,0.425501935764504,1,0.0034510190533744,0.00811046616550386,0.0034510190533744,48,88,Shot
23,0.797272080712364,1,0.000319393806388999,0.000400608291843884,0.000319393806388999,50,88,Shot
23,0.929448340919497,0,0,0,0,52,88,Shot
19,0.688502248633674,0,0,0,0,54,88,Shot
16,0.495879162067227,0,0,0,0,56,88,Shot
13,0.243579347289038,0,0,0,0,58,88,Shot
