x,y,WeightedExpectedGoals,GoalProbability
0,0,0.00377470169355141,0
0,2,0.0182655261455678,0
0,4,0.0590512502794951,0.001
0,6,0.158698778769344,0.002
0,8,0.325864786964488,0.004
0,10,0.488806225886793,0.005
0,12,0.530361261896603,0.006
0,14,0.429002277470213,0.005
0,16,0.29629766535339,0.004
0,18,0.222873175303058,0.002
0,20,0.199777127516366,0.002
0,22,0.223637823120275,0.002
0,24,0.474306976866458,0.002
0,26,1.3089788945847,0.005
0,28,2.88995124312955,0.008
0,30,4.58000656973812,0.009
0,32,5.20570578052735,0.007
0,34,4.48805415796721,0.005
0,36,3.5452598493634,0.003
0,38,3.45435369865334,0.003
0,40,4.03552513388729,0.004
0,42,4.45869417923114,0.005
0,44,4.33930967869577,0.006
0,46,3.73273589143173,0.007
0,48,2.7353395485206,0.007
0,50,1.58518409574636,0.005
0,52,0.691050648550268,0.003
0,54,0.225633786691839,0.001
0,56,0.0604186170823563,0
0,58,0.0168412954620912,0
0,60,0.00464172194620269,0
0,62,0.00158429035860405,0
0,64,0.000842577884099997,0
0,66,0.0011826866110693,0
0,68,0.00115736442730036,0
0,70,0.000789607753286783,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.0226307329276951,0
2,2,0.0722778792270461,0.001
2,4,0.20634754113477,0.002
2,6,0.508040966891272,0.004
2,8,0.989043031780119,0.006
2,10,1.43725784883444,0.008
2,12,1.52794083798745,0.009
2,14,1.25107822293411,0.008
2,16,0.948686586308444,0.006
2,18,0.838453236141604,0.005
2,20,0.800671571411399,0.004
2,22,0.72589033404387,0.003
2,24,0.929617457480896,0.003
2,26,2.06312888430193,0.004
2,28,4.4326328085591,0.006
2,30,7.0957710856398,0.007
2,32,8.29035641914348,0.006
2,34,7.59339417072756,0.004
2,36,6.64258806219912,0.003
2,38,6.90889063007934,0.003
2,40,7.90873087839045,0.003
2,42,8.36104731617879,0.004
2,44,7.88602585855613,0.005
2,46,6.72272160934063,0.006
2,48,4.95076294818331,0.006
2,50,2.91329622006243,0.005
2,52,1.30755357290207,0.003
2,54,0.464767895873542,0.001
2,56,0.157690282270262,0.001
2,58,0.0626957716861777,0
2,60,0.0264190340726374,0
2,62,0.0114666024156665,0
2,64,0.00861981874733431,0
2,66,0.00937763545019429,0
2,68,0.00917685342901863,0
2,70,0.00626087552667538,0
2,72,0.00297794840299893,0
2,74,0.000987506795058818,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0739533687875811,0.001
4,2,0.214230041487865,0.001
4,4,0.542395503868675,0.003
4,6,1.2106010052931,0.006
4,8,2.21806490926082,0.009
4,10,3.10466819694533,0.011
4,12,3.24318215752546,0.012
4,14,2.7147828958908,0.01
4,16,2.29154152655094,0.009
4,18,2.32788428575691,0.009
4,20,2.3479063164411,0.008
4,22,1.95458002651963,0.005
4,24,1.6541332071867,0.003
4,26,2.47323185374372,0.003
4,28,4.8946906234442,0.004
4,30,7.93395973475129,0.005
4,32,9.75693410032948,0.004
4,34,9.93238113663077,0.004
4,36,10.0115485082994,0.003
4,38,11.054798817388,0.003
4,40,12.083002402866,0.003
4,42,11.8397564837563,0.004
4,44,10.4984391366664,0.005
4,46,8.67003278713844,0.005
4,48,6.36283811205628,0.005
4,50,3.80479517427232,0.004
4,52,1.80768986070067,0.002
4,54,0.765044392477612,0.001
4,56,0.365355565512532,0.001
4,58,0.194845611920895,0
4,60,0.0938451919116394,0
4,62,0.0475607382185495,0
4,64,0.043884049879243,0
4,66,0.052992531815624,0
4,68,0.0507292317815188,0
4,70,0.0346098374791106,0
4,72,0.0164619644345013,0
4,74,0.00545889301598236,0
4,76,0.0012620260859397,0
4,78,0,0
4,80,0,0
6,0,0.175197319729682,0.001
6,2,0.469265961854738,0.002
6,4,1.06420951056883,0.004
6,6,2.13885464745814,0.007
6,8,3.65325670202954,0.011
6,10,4.90876833492135,0.014
6,12,5.05027023461459,0.013
6,14,4.36629468654222,0.012
6,16,4.12346331855434,0.012
6,18,4.68360449007807,0.013
6,20,4.92723014552178,0.012
6,22,4.00424398904764,0.008
6,24,2.69197803647689,0.004
6,26,2.49336245337826,0.003
6,28,4.07516210298178,0.003
6,30,6.72103253822703,0.004
6,32,9.11638517404568,0.004
6,34,10.998000935345,0.003
6,36,13.0878058255758,0.003
6,38,15.0579380326179,0.003
6,40,15.3389199904519,0.004
6,42,13.4383159267986,0.004
6,44,10.6787698194357,0.004
6,46,8.19431755109845,0.004
6,48,5.86500362513295,0.004
6,50,3.59493193091458,0.003
6,52,1.92255034669676,0.002
6,54,1.09393725573214,0.001
6,56,0.731122824474013,0.001
6,58,0.460226566211463,0.001
6,60,0.240257740389052,0.001
6,62,0.143733420893136,0
6,64,0.160479065927615,0
6,66,0.203599965614934,0
6,68,0.196296696204911,0
6,70,0.133850384327212,0
6,72,0.0634434766931284,0
6,74,0.0210382638844675,0
6,76,0.00486377691362451,0
6,78,0.000783931689411072,0
6,80,0,0
8,0,0.300834222196469,0.002
8,2,0.753009753131423,0.003
8,4,1.54669349896751,0.005
8,6,2.79058236853457,0.008
8,8,4.40039802165061,0.011
8,10,5.65660801686363,0.013
8,12,5.75012703290297,0.012
8,14,5.189002469146,0.011
8,16,5.46689587076381,0.012
8,18,6.75986300585971,0.014
8,20,7.32869577074205,0.014
8,22,5.95448344131037,0.01
8,24,3.67581281364909,0.005
8,26,2.39345365444999,0.002
8,28,2.94848954667891,0.002
8,30,4.9795758619263,0.003
8,32,7.87390971979959,0.003
8,34,11.5660790271311,0.004
8,36,15.7031692081668,0.004
8,38,18.293464342409,0.004
8,40,17.2803883772819,0.004
8,42,13.3072556654166,0.003
8,44,9.00663034791957,0.003
8,46,5.986556528055,0.002
8,48,4.00390725954236,0.002
8,50,2.56251229105774,0.002
8,52,1.71220842259673,0.002
8,54,1.38537878945624,0.002
8,56,1.15827066492767,0.002
8,58,0.789159295990227,0.001
8,60,0.440256030809363,0.001
8,62,0.320883320239455,0.001
8,64,0.419066424136665,0.001
8,66,0.549534179464661,0.001
8,68,0.532417791337184,0.001
8,70,0.362244683884616,0.001
8,72,0.172052937034211,0
8,74,0.0565270131428987,0
8,76,0.0130683208001571,0
8,78,0.0021063200439838,0
8,80,0,0
10,0,0.396180307218672,0.002
10,2,0.909348413266971,0.003
10,4,1.68091912109018,0.005
10,6,2.70636274179082,0.007
10,8,3.89845193074558,0.008
10,10,4.77977463250421,0.009
10,12,4.84739638087355,0.009
10,14,4.62936277989886,0.008
10,16,5.36355972037375,0.009
10,18,7.00690551470249,0.012
10,20,7.76073154015961,0.011
10,22,6.41304863728993,0.008
10,24,3.99626793704898,0.005
10,26,2.40127101466478,0.002
10,28,2.51775951909406,0.002
10,30,4.29485955448779,0.002
10,32,7.54051433062417,0.003
10,34,12.2163487933773,0.004
10,36,17.2902446753056,0.005
10,38,19.8545065038842,0.005
10,40,17.694586896059,0.004
10,42,12.2690553059824,0.003
10,44,7.01937323410067,0.002
10,46,3.76702726615791,0.001
10,48,2.1850277211184,0.001
10,50,1.50227759714443,0.001
10,52,1.36336875532301,0.001
10,54,1.45789932516264,0.002
10,56,1.35847117011848,0.002
10,58,0.963501453190684,0.001
10,60,0.584971985213823,0.001
10,62,0.531529812702505,0.001
10,64,0.789816691290643,0.001
10,66,1.05616220700731,0.001
10,68,1.02242595683417,0.001
10,70,0.693607309863838,0.001
10,72,0.328486694605837,0.001
10,74,0.108519672637721,0
10,76,0.0250065817937594,0
