x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
106,16,Pass,120,0,20,0,0,0,0.001
106,16,Pass,120,2,31,0,1,0,0.002
106,16,Pass,120,4,37,0,1,0,0.003
106,16,Pass,120,6,40,0,1,0,0.004
106,16,Pass,120,8,41,0.001,1,0,0.003
106,16,Pass,120,10,53,0.001,1,0,0.002
106,16,Pass,120,12,58,0.001,1,0,0.001
106,16,Pass,120,14,63,0.001,1,0,0.001
106,16,Pass,120,16,60,0.001,1,0,0.003
106,16,Pass,120,18,60,0.001,1,0,0.007
106,16,Pass,120,20,62,0.001,1,0,0.012
106,16,Pass,120,22,56,0.001,0,0,0.017
106,16,Pass,120,24,63,0.001,1,0,0.018
106,16,Pass,120,26,69,0.002,2,0,0.014
106,16,Pass,120,28,79,0.003,5,0,0.011
106,16,Pass,120,30,90,0.005,5,0,0.01
106,16,Pass,120,32,103,0.007,7,0,0.014
106,16,Pass,120,34,117,0.008,9,0,0.025
106,16,Pass,120,36,120,0.01,9,0,0.046
106,16,Pass,120,38,120,0.015,9,0.001,0.074
106,16,Pass,120,40,121,0.021,9,0.002,0.1
106,16,Pass,120,42,116,0.025,9,0.003,0.12
106,16,Pass,120,44,115,0.026,9,0.003,0.125
106,16,Pass,120,46,101,0.024,7,0.003,0.106
106,16,Pass,120,48,88,0.021,5,0.001,0.069
106,16,Pass,120,50,68,0.019,5,0.001,0.032
106,16,Pass,120,52,53,0.018,2,0,0.011
106,16,Pass,120,54,40,0.016,2,0,0.003
106,16,Pass,120,56,32,0.012,2,0,0.001
106,16,Pass,120,58,27,0.011,0,0,0
106,16,Pass,120,60,21,0.012,0,0,0
106,16,Pass,120,62,19,0.014,0,0,0
106,16,Pass,120,64,19,0.013,0,0,0
106,16,Pass,120,66,14,0.009,0,0,0
106,16,Pass,120,68,13,0.005,0,0,0
106,16,Pass,120,70,9,0.002,0,0,0
106,16,Pass,120,72,9,0.002,0,0,0
106,16,Pass,120,74,9,0.004,0,0,0
106,16,Pass,120,76,7,0.006,0,0,0
106,16,Pass,120,78,6,0.008,0,0,0
106,16,Pass,120,80,5,0.008,0,0,0
106,16,Pass,118,0,33,0,1,0,0.002
106,16,Pass,118,2,46,0,1,0,0.003
106,16,Pass,118,4,51,0.001,1,0,0.004
106,16,Pass,118,6,61,0.001,1,0,0.005
106,16,Pass,118,8,66,0.002,1,0,0.004
106,16,Pass,118,10,70,0.002,1,0,0.003
106,16,Pass,118,12,73,0.003,1,0,0.002
106,16,Pass,118,14,76,0.003,1,0,0.002
106,16,Pass,118,16,77,0.003,1,0,0.004
106,16,Pass,118,18,76,0.004,1,0,0.009
106,16,Pass,118,20,74,0.004,1,0,0.016
106,16,Pass,118,22,76,0.004,0,0,0.023
106,16,Pass,118,24,85,0.003,1,0,0.026
106,16,Pass,118,26,88,0.004,4,0,0.021
106,16,Pass,118,28,105,0.006,5,0,0.015
106,16,Pass,118,30,118,0.01,6,0,0.015
106,16,Pass,118,32,129,0.013,9,0,0.021
106,16,Pass,118,34,137,0.015,9,0,0.034
106,16,Pass,118,36,147,0.018,9,0.001,0.058
106,16,Pass,118,38,145,0.023,9,0.002,0.091
106,16,Pass,118,40,139,0.031,9,0.004,0.125
106,16,Pass,118,42,135,0.038,9,0.006,0.149
106,16,Pass,118,44,135,0.039,9,0.006,0.152
106,16,Pass,118,46,124,0.036,9,0.005,0.13
106,16,Pass,118,48,105,0.03,7,0.003,0.09
106,16,Pass,118,50,91,0.026,5,0.001,0.048
106,16,Pass,118,52,72,0.023,5,0,0.019
106,16,Pass,118,54,52,0.019,2,0,0.006
106,16,Pass,118,56,41,0.015,2,0,0.002
106,16,Pass,118,58,31,0.013,0,0,0
106,16,Pass,118,60,24,0.014,0,0,0
106,16,Pass,118,62,20,0.016,0,0,0
106,16,Pass,118,64,21,0.014,0,0,0
106,16,Pass,118,66,18,0.009,0,0,0
106,16,Pass,118,68,13,0.005,0,0,0
106,16,Pass,118,70,9,0.003,0,0,0
106,16,Pass,118,72,9,0.003,0,0,0
106,16,Pass,118,74,9,0.005,0,0,0
106,16,Pass,118,76,7,0.007,0,0,0
106,16,Pass,118,78,6,0.009,0,0,0
106,16,Pass,118,80,5,0.008,0,0,0
106,16,Pass,116,0,47,0,1,0,0.003
106,16,Pass,116,2,63,0.001,1,0,0.004
106,16,Pass,116,4,72,0.002,1,0,0.005
106,16,Pass,116,6,76,0.003,1,0,0.005
106,16,Pass,116,8,81,0.004,1,0,0.004
106,16,Pass,116,10,91,0.006,1,0,0.003
106,16,Pass,116,12,88,0.007,1,0,0.002
106,16,Pass,116,14,89,0.008,1,0,0.002
106,16,Pass,116,16,90,0.009,1,0,0.005
106,16,Pass,116,18,91,0.01,1,0,0.011
106,16,Pass,116,20,100,0.011,1,0,0.019
106,16,Pass,116,22,103,0.01,2,0,0.028
106,16,Pass,116,24,109,0.009,1,0,0.032
106,16,Pass,116,26,121,0.008,4,0,0.028
106,16,Pass,116,28,136,0.011,6,0,0.021
106,16,Pass,116,30,149,0.015,6,0,0.021
106,16,Pass,116,32,160,0.019,9,0.001,0.029
106,16,Pass,116,34,162,0.023,9,0.001,0.045
106,16,Pass,116,36,156,0.027,9,0.002,0.068
106,16,Pass,116,38,158,0.034,9,0.003,0.096
106,16,Pass,116,40,156,0.042,9,0.005,0.129
106,16,Pass,116,42,155,0.048,9,0.007,0.154
106,16,Pass,116,44,153,0.05,9,0.008,0.16
106,16,Pass,116,46,133,0.045,9,0.006,0.142
106,16,Pass,116,48,125,0.036,8,0.004,0.107
106,16,Pass,116,50,106,0.027,5,0.002,0.065
106,16,Pass,116,52,89,0.022,5,0.001,0.032
106,16,Pass,116,54,67,0.018,2,0,0.014
106,16,Pass,116,56,51,0.014,2,0,0.006
106,16,Pass,116,58,38,0.011,0,0,0.002
106,16,Pass,116,60,33,0.012,0,0,0.001
106,16,Pass,116,62,23,0.013,0,0,0
106,16,Pass,116,64,21,0.011,0,0,0
106,16,Pass,116,66,19,0.007,0,0,0
106,16,Pass,116,68,14,0.004,0,0,0
106,16,Pass,116,70,9,0.003,0,0,0
106,16,Pass,116,72,10,0.005,0,0,0
106,16,Pass,116,74,10,0.007,0,0,0
106,16,Pass,116,76,10,0.008,0,0,0
106,16,Pass,116,78,7,0.007,0,0,0
106,16,Pass,116,80,7,0.006,0,0,0
106,16,Pass,114,0,65,0.001,1,0,0.003
106,16,Pass,114,2,77,0.002,1,0,0.004
106,16,Pass,114,4,86,0.004,1,0,0.004
